operation,randomOffset,transferSize,aggregateFilesizeMB,numTasks,totalTime,numNodes,tasksPerNode,bwMiB,storageType,opCount,taskName,taskPID,fileName
0,0,429688.0,15.571731567382812,300,0.019952136,1,300.0,780.4543617476752,1,38.0,individuals,51884,./1kgenome_data/fastflow_tests/par_3000_1n_pfs_ps300/300_p_1n_PFS_t1/chr10-ALL.tar.gz.51884.w_blk_trace.json
1,0,117066.14864864865,16.523160934448242,300,0.07972644,1,300.0,207.24819688986796,1,148.0,individuals,51884,./1kgenome_data/fastflow_tests/par_3000_1n_pfs_ps300/300_p_1n_PFS_t1/sifted.SIFT.chr10.txt.51884.r_blk_trace.json
0,0,44709.0,0.04263782501220703,300,1.3341e-05,1,300.0,3195.9991763891035,1,1.0,individuals,240929,./1kgenome_data/fastflow_tests/par_3000_1n_pfs_ps300/300_p_1n_PFS_t1/chr5n-2701-2801.tar.gz.240929.w_blk_trace.json
1,0,8191.929237568348,2421.8150177001953,300,30.818003083,1,300.0,78.58442388942879,1,309995.0,individuals,240929,./1kgenome_data/fastflow_tests/par_3000_1n_pfs_ps300/300_p_1n_PFS_t1/columns.txt.240929.r_blk_trace.json
0,0,2911.38283062645,8.376733779907227,300,0.873811174,1,300.0,9.58643472314675,1,3017.0,frequency,20676,./1kgenome_data/fastflow_tests/par_3000_1n_pfs_ps300/300_p_1n_PFS_t1/chr8-ALL-freq.tar.gz.20676.w_blk_trace.json
1,0,730.0759780148722,2.1535158157348633,300,0.720986067,1,300.0,2.9869035121518697,1,3093.0,frequency,20676,./1kgenome_data/fastflow_tests/par_3000_1n_pfs_ps300/300_p_1n_PFS_t1/sifted.SIFT.chr8.txt.20676.r_blk_trace.json
0,0,51752.0,0.04935455322265625,300,1.3121e-05,1,300.0,3761.493272056722,1,1.0,individuals,239429,./1kgenome_data/fastflow_tests/par_3000_1n_pfs_ps300/300_p_1n_PFS_t1/chr5n-801-901.tar.gz.239429.w_blk_trace.json
1,0,8191.929237568348,2421.8150177001953,300,30.025097177,1,300.0,80.65968957314044,1,309995.0,individuals,239429,./1kgenome_data/fastflow_tests/par_3000_1n_pfs_ps300/300_p_1n_PFS_t1/columns.txt.239429.r_blk_trace.json
0,0,55622.0,0.05304527282714844,300,2.4241e-05,1,300.0,2188.246063576108,1,1.0,individuals,242659,./1kgenome_data/fastflow_tests/par_3000_1n_pfs_ps300/300_p_1n_PFS_t1/chr10n-1701-1801.tar.gz.242659.w_blk_trace.json
1,0,8191.928799979357,2422.0726985931396,300,15.171536687,1,300.0,159.64583868874243,1,310028.0,individuals,242659,./1kgenome_data/fastflow_tests/par_3000_1n_pfs_ps300/300_p_1n_PFS_t1/ALL.chr10.250000.vcf.242659.r_blk_trace.json
